time_s,measured_signed_tangent_speed_mps,inferred_local_path_curvature_per_m,commanded_speed_mps,commanded_curvature_speed_rate_radps,inferred_measured_speed_geometric_rate_radps,quaternion_euler_yaw_unwrapped_rad,quaternion_euler_yaw_rate_radps,measured_body_wz_radps,euler_yaw_rate_minus_geometric_radps,body_wz_minus_geometric_radps,euler_yaw_rate_minus_commanded_radps,body_wz_minus_commanded_radps,body_wz_minus_euler_yaw_rate_radps,tangent_yaw_error_deg,tilt_deg
2.16,0.8516915001301132,1.3337135105862967,1.0,1.3337135105862967,1.1359124605750426,1.9973277050930252,1.071189459665412,1.0670951395312862,-0.06472300090963068,-0.06881732104375637,-0.2625240509208848,-0.2666183710550105,-0.004094320134125695,-13.759566651616916,7.496777902048952
2.18,0.85813612689762,1.3333813785518023,1.0,1.3333813785518023,1.1442227318678528,2.0188310509436054,1.1061275705846327,1.098448882424854,-0.0380951612832201,-0.04577384944299889,-0.22725380796716954,-0.23493249612694833,-0.00767868815977879,-14.243859357144215,7.229881855016332
2.2,0.8641042392712641,1.3335382231324864,1.0,1.3335382231324864,1.1523160318390504,2.0415728079164106,1.1536880645744532,1.1447006308323195,0.0013720327354027617,-0.00761540100673086,-0.1798501585580332,-0.18883759230016683,-0.008987433742133621,-13.801179799657822,7.183685458775265
2.22,0.8692444958520984,1.3332305141617005,1.0,1.3332305141617005,1.1589032861371213,2.0649785735265835,1.1540187316589652,1.155291072721952,-0.004884554478156167,-0.003612213415169263,-0.17921178250273528,-0.17793944143974838,0.0012723410629869036,-14.185093981931328,6.927465472144897
2.24,0.8736107231606395,1.3334896335587738,1.0,1.3334896335587738,1.1649508431004965,2.0877335571827693,1.1214265619094306,1.078804621157779,-0.04352428119106588,-0.08614622194271737,-0.21206307164934324,-0.2546850124009947,-0.04262194075165149,-13.74565317329413,7.253865414845517
2.2600000000000002,0.8766766305332392,1.3334189262167135,1.0,1.3334189262167135,1.1689772113249184,2.109835636002961,1.0780770268539612,0.9847125974468696,-0.09090018447095716,-0.18426461387804882,-0.2553418993627523,-0.348706328769844,-0.09336442940709166,-14.211815172256449,6.491711504159843
2.2800000000000002,0.877157997855159,1.3335991485328451,1.0,1.3335991485328451,1.1697771590684152,2.130856638256928,1.0423109665020078,0.9705795809106714,-0.12746619256640734,-0.19919757815774375,-0.2912881820308373,-0.3630195676221737,-0.0717313855913364,-13.875730348209379,5.790250841025912
2.3000000000000003,0.8755654733882544,1.3331695378429533,1.0,1.3331695378429533,1.1672772175082657,2.151528074663041,1.0361278959836895,0.9948189241216646,-0.13114932152457626,-0.17245829338660112,-0.29704164185926385,-0.3383506137212887,-0.04130897186202487,-14.431781110449093,5.483752019676425
2.32,0.871845233373799,1.3328883898812651,1.0,1.3328883898812651,1.1620723893372589,2.172301754096275,1.052005275709483,1.0118014833924904,-0.11006711362777577,-0.15027090594476844,-0.280883114171782,-0.3210869064887747,-0.04020379231699267,-14.986856112641107,5.178677465794846
2.34,0.8664360387755501,1.3328163942295121,1.0,1.3328163942295121,1.1548001570313304,2.19360828569142,1.102442680951043,1.0741418864162064,-0.0523574760802874,-0.08065827061512398,-0.23037371327846912,-0.2586745078133057,-0.028300794534836582,-14.640042065481714,4.98852546951581
